# Source: Eurostat cens_21dwop_r3 (2021 Population & Housing Census, DOI 10.2908/cens_21dwop_r3). Filters: housing=DW (conventional dwellings), geo=countries. Counts are official; pct_pre1980 computed = (before_1919 + y1919_1945 + y1946_1960 + y1961_1980) / total; _known excludes unknown-year. Retrieved 2026-07-02 from Eurostat dissemination API.
country,geo,total_dwellings,before_1919,y1919_1945,y1946_1960,y1961_1980,pre1980_sum,unknown_year,pct_pre1980_all,pct_pre1980_known
Sweden,SE,5510195,440887,912698,889817,1785374,4028776,110663,73.1,74.6
Denmark,DK,3071987,525830,455124,352261,925370,2258585,2900,73.5,73.6
Belgium,BE,5781088,1270488,708270,631447,1369484,3979689,3387,68.8,68.9
Latvia,LV,1063939,115978,136029,94956,380352,727315,7789,68.4,68.9
Italy,IT,35271829,3342294,2965724,5108281,12657859,24074158,0,68.3,68.3
Germany,DE,43106589,5689238,4094383,6355389,12432773,28571783,0,66.3,66.3
Hungary,HU,4566313,346682,444475,549861,1620771,2961789,0,64.9,64.9
Romania,RO,9914511,141012,603484,1428474,4024311,6197281,260600,62.5,64.2
Slovakia,SK,2178429,68758,178027,325640,807307,1379732,15634,63.3,63.8
Slovenia,SI,864323,113818,56743,79793,296961,547315,0,63.3,63.3
Bulgaria,BG,4258585,37249,312927,673040,1592305,2615521,1898,61.4,61.4
Czechia,CZ,5340033,455305,656581,417179,1563297,3092362,290499,57.9,61.2
Switzerland,CH,4688288,709692,416921,509085,1200230,2835928,0,60.5,60.5
Estonia,EE,732836,41265,69885,75491,252076,438717,6148,59.9,60.4
Austria,AT,4909410,777400,334240,487664,1291385,2890689,0,58.9,58.9
Netherlands,NL,7832373,585459,883919,816713,2266503,4552594,14,58.1,58.1
France,FR,37042023,4996760,3312062,4533890,8189246,21031958,67742,56.8,56.9
Lithuania,LT,1437680,28877,117642,114658,553654,814831,0,56.7,56.7
Norway,NO,2684261,223378,188000,334916,677104,1423398,118107,53.0,55.5
Poland,PL,15227927,1042488,1466272,1618426,4039295,8166481,369779,53.6,55.0
Finland,FI,3124286,49676,219941,368211,984404,1622232,8364,51.9,52.1
Iceland,IS,141113,2614,11811,18368,40080,72873,181,51.6,51.7
Greece,EL,6596761,128787,268775,627713,2356334,3381609,0,51.3,51.3
Spain,ES,26623706,1614117,1543334,1947182,7938844,13043477,961443,49.0,50.8
Croatia,HR,2391944,119009,116094,185436,743122,1163661,82327,48.6,50.4
Luxembourg,LU,263647,21635,27320,26532,48846,124333,5327,47.2,48.1
Portugal,PT,5970677,212222,345148,528309,1600513,2686192,0,45.0,45.0
Liechtenstein,LI,21329,1416,846,1321,5636,9219,27,43.2,43.3
Ireland,IE,2108065,155293,114310,132684,348432,750719,308543,35.6,41.7
Malta,MT,297305,9831,7799,11093,30486,59209,81612,19.9,27.5
Cyprus,CY,491545,1443,7875,19135,87609,116062,6978,23.6,24.0
